timestamp,value
0.000000,41.0
0.002778,46.0
0.005556,34.0
0.008333,15.0
0.011111,-7.0
0.013889,-26.0
0.016667,-43.0
0.019444,-77.0
0.022222,-108.0
0.025000,-135.0
0.027778,-160.0
0.030556,-183.0
0.033333,-208.0
0.036111,-233.0
0.038889,-252.0
0.041667,-264.0
0.044444,-268.0
0.047222,-268.0
0.050000,-271.0
0.052778,-275.0
0.055556,-284.0
0.058333,-293.0
0.061111,-300.0
0.063889,-304.0
0.066667,-309.0
0.069444,-317.0
0.072222,-331.0
0.075000,-351.0
0.077778,-378.0
0.080556,-408.0
0.083333,-437.0
0.086111,-459.0
0.088889,-461.0
0.091667,-434.0
0.094444,-365.0
0.097222,-249.0
0.100000,-80.0
0.102778,164.0
0.105556,464.0
0.108333,783.0
0.111111,1052.0
0.113889,1235.0
0.116667,1319.0
0.119444,1294.0
0.122222,1125.0
0.125000,840.0
0.127778,469.0
0.130556,90.0
0.133333,-258.0
0.136111,-558.0
0.138889,-796.0
0.141667,-955.0
0.144444,-1045.0
0.147222,-1065.0
0.150000,-1033.0
0.152778,-967.0
0.155556,-885.0
0.158333,-800.0
0.161111,-724.0
0.163889,-664.0
0.166667,-623.0
0.169444,-602.0
0.172222,-595.0
0.175000,-596.0
0.177778,-600.0
0.180556,-605.0
0.183333,-609.0
0.186111,-610.0
0.188889,-609.0
0.191667,-607.0
0.194444,-606.0
0.197222,-605.0
0.200000,-600.0
0.202778,-595.0
0.205556,-591.0
0.208333,-588.0
0.211111,-587.0
0.213889,-588.0
0.216667,-588.0
0.219444,-590.0
0.222222,-591.0
0.225000,-591.0
0.227778,-593.0
0.230556,-594.0
0.233333,-594.0
0.236111,-596.0
0.238889,-596.0
0.241667,-596.0
0.244444,-596.0
0.247222,-596.0
0.250000,-595.0
0.252778,-597.0
0.255556,-598.0
0.258333,-601.0
0.261111,-605.0
0.263889,-609.0
0.266667,-610.0
0.269444,-605.0
0.272222,-599.0
0.275000,-591.0
0.277778,-585.0
0.280556,-578.0
0.283333,-572.0
0.286111,-566.0
0.288889,-562.0
0.291667,-555.0
0.294444,-548.0
0.297222,-535.0
0.300000,-521.0
0.302778,-504.0
0.305556,-486.0
0.308333,-470.0
0.311111,-454.0
0.313889,-438.0
0.316667,-424.0
0.319444,-411.0
0.322222,-403.0
0.325000,-401.0
0.327778,-406.0
0.330556,-415.0
0.333333,-429.0
0.336111,-443.0
0.338889,-457.0
0.341667,-470.0
0.344444,-480.0
0.347222,-488.0
0.350000,-495.0
0.352778,-504.0
0.355556,-512.0
0.358333,-521.0
0.361111,-528.0
0.363889,-537.0
0.366667,-544.0
0.369444,-550.0
0.372222,-553.0
0.375000,-554.0
0.377778,-553.0
0.380556,-550.0
0.383333,-544.0
0.386111,-538.0
0.388889,-532.0
0.391667,-526.0
0.394444,-521.0
0.397222,-514.0
0.400000,-507.0
0.402778,-501.0
0.405556,-496.0
0.408333,-494.0
0.411111,-494.0
0.413889,-491.0
0.416667,-486.0
0.419444,-475.0
0.422222,-458.0
0.425000,-439.0
0.427778,-419.0
0.430556,-399.0
0.433333,-385.0
0.436111,-375.0
0.438889,-373.0
0.441667,-375.0
0.444444,-385.0
0.447222,-405.0
0.450000,-435.0
0.452778,-468.0
0.455556,-499.0
0.458333,-525.0
0.461111,-550.0
0.463889,-572.0
0.466667,-592.0
0.469444,-608.0
0.472222,-617.0
0.475000,-621.0
0.477778,-623.0
0.480556,-622.0
0.483333,-618.0
0.486111,-615.0
0.488889,-611.0
0.491667,-608.0
0.494444,-606.0
0.497222,-603.0
0.500000,-603.0
0.502778,-609.0
0.505556,-620.0
0.508333,-639.0
0.511111,-663.0
0.513889,-691.0
0.516667,-719.0
0.519444,-737.0
0.522222,-738.0
0.525000,-710.0
0.527778,-643.0
0.530556,-525.0
0.533333,-361.0
0.536111,-148.0
0.538889,109.0
0.541667,388.0
0.544444,650.0
0.547222,843.0
0.550000,923.0
0.552778,901.0
0.555556,774.0
0.558333,540.0
0.561111,228.0
0.563889,-118.0
0.566667,-445.0
0.569444,-711.0
0.572222,-918.0
0.575000,-1065.0
0.577778,-1147.0
0.580556,-1171.0
0.583333,-1144.0
0.586111,-1081.0
0.588889,-1000.0
0.591667,-918.0
0.594444,-842.0
0.597222,-776.0
0.600000,-724.0
0.602778,-690.0
0.605556,-669.0
0.608333,-658.0
0.611111,-650.0
0.613889,-641.0
0.616667,-634.0
0.619444,-627.0
0.622222,-620.0
0.625000,-611.0
0.627778,-604.0
0.630556,-596.0
0.633333,-589.0
0.636111,-583.0
0.638889,-579.0
0.641667,-573.0
0.644444,-571.0
0.647222,-568.0
0.650000,-565.0
0.652778,-561.0
0.655556,-558.0
0.658333,-553.0
0.661111,-549.0
0.663889,-544.0
0.666667,-538.0
0.669444,-535.0
0.672222,-535.0
0.675000,-537.0
0.677778,-542.0
0.680556,-546.0
0.683333,-548.0
0.686111,-548.0
0.688889,-545.0
0.691667,-543.0
0.694444,-543.0
0.697222,-543.0
0.700000,-543.0
0.702778,-543.0
0.705556,-543.0
0.708333,-543.0
0.711111,-542.0
0.713889,-540.0
0.716667,-534.0
0.719444,-526.0
0.722222,-515.0
0.725000,-499.0
0.727778,-481.0
0.730556,-464.0
0.733333,-446.0
0.736111,-426.0
0.738889,-407.0
0.741667,-387.0
0.744444,-367.0
0.747222,-350.0
0.750000,-336.0
0.752778,-324.0
0.755556,-320.0
0.758333,-317.0
0.761111,-316.0
0.763889,-322.0
0.766667,-330.0
0.769444,-340.0
0.772222,-352.0
0.775000,-364.0
0.777778,-377.0
0.780556,-391.0
0.783333,-407.0
0.786111,-420.0
0.788889,-435.0
0.791667,-449.0
0.794444,-460.0
0.797222,-470.0
0.800000,-477.0
0.802778,-479.0
0.805556,-482.0
0.808333,-482.0
0.811111,-483.0
0.813889,-485.0
0.816667,-488.0
0.819444,-489.0
0.822222,-487.0
0.825000,-481.0
0.827778,-476.0
0.830556,-470.0
0.833333,-462.0
0.836111,-455.0
0.838889,-450.0
0.841667,-448.0
0.844444,-448.0
0.847222,-448.0
0.850000,-446.0
0.852778,-441.0
0.855556,-434.0
0.858333,-423.0
0.861111,-412.0
0.863889,-401.0
0.866667,-391.0
0.869444,-390.0
0.872222,-395.0
0.875000,-403.0
0.877778,-413.0
0.880556,-427.0
0.883333,-446.0
0.886111,-470.0
0.888889,-495.0
0.891667,-522.0
0.894444,-551.0
0.897222,-579.0
0.900000,-602.0
0.902778,-621.0
0.905556,-636.0
0.908333,-645.0
0.911111,-648.0
0.913889,-648.0
0.916667,-645.0
0.919444,-642.0
0.922222,-641.0
0.925000,-641.0
0.927778,-640.0
0.930556,-639.0
0.933333,-637.0
0.936111,-640.0
0.938889,-652.0
0.941667,-671.0
0.944444,-698.0
0.947222,-733.0
0.950000,-769.0
0.952778,-801.0
0.955556,-814.0
0.958333,-788.0
0.961111,-717.0
0.963889,-594.0
0.966667,-416.0
0.969444,-183.0
0.972222,110.0
0.975000,432.0
0.977778,711.0
0.980556,933.0
0.983333,1052.0
0.986111,1062.0
0.988889,952.0
0.991667,716.0
0.994444,385.0
0.997222,24.0
1.000000,-359.0
1.002778,-681.0
1.005556,-921.0
1.008333,-1068.0
1.011111,-1130.0
1.013889,-1117.0
1.016667,-1086.0
1.019444,-1024.0
1.022222,-952.0
1.025000,-874.0
1.027778,-800.0
1.030556,-745.0
1.033333,-732.0
1.036111,-728.0
1.038889,-728.0
1.041667,-730.0
1.044444,-732.0
1.047222,-733.0
1.050000,-735.0
1.052778,-736.0
1.055556,-738.0
1.058333,-740.0
1.061111,-742.0
1.063889,-744.0
1.066667,-746.0
1.069444,-748.0
1.072222,-749.0
1.075000,-747.0
1.077778,-747.0
1.080556,-747.0
1.083333,-748.0
1.086111,-751.0
1.088889,-755.0
1.091667,-762.0
1.094444,-769.0
1.097222,-777.0
1.100000,-783.0
1.102778,-788.0
1.105556,-795.0
1.108333,-801.0
1.111111,-808.0
1.113889,-815.0
1.116667,-821.0
1.119444,-825.0
1.122222,-827.0
1.125000,-826.0
1.127778,-827.0
